Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding
4,0.001,0.1,50,1,0.005,-0.28462,1.00267,0.0422, Dev/Test,sgns
5,0.001,0.1,50,1,0.005,-0.50941,0.8352,0.09546, Train,sgns
5,0.001,0.1,50,1,0.005,-0.27984,1.00745,0.04173, Dev/Test,sgns
1,0.001,0.1,50,50,0.1,-0.20322,0.9573,0.02916, Train,sgns
1,0.001,0.1,50,50,0.1,-0.24666,0.99706,0.03247, Dev/Test,sgns
2,0.001,0.1,50,50,0.1,-0.2718,0.92946,0.04422, Train,sgns
2,0.001,0.1,50,50,0.1,-0.24702,0.98991,0.03294, Dev/Test,sgns
3,0.001,0.1,50,50,0.1,-0.30654,0.92363,0.04997, Train,sgns
3,0.001,0.1,50,50,0.1,-0.26595,0.98242,0.0422, Dev/Test,sgns
4,0.001,0.1,50,50,0.1,-0.33767,0.9195,0.05505, Train,sgns
4,0.001,0.1,50,50,0.1,-0.26537,0.98965,0.04, Dev/Test,sgns
5,0.001,0.1,50,50,0.1,-0.369,0.90598,0.05732, Train,sgns
5,0.001,0.1,50,50,0.1,-0.27497,0.98767,0.04125, Dev/Test,sgns
1,0.005,0.2,50,20,0.05,-0.24963,1.9717,0.037, Train,sgns
1,0.005,0.2,50,20,0.05,-0.27707,2.02934,0.04, Dev/Test,sgns
2,0.005,0.2,50,20,0.05,-0.33187,2.61043,0.05284, Train,sgns
2,0.005,0.2,50,20,0.05,-0.27931,2.65595,0.04188, Dev/Test,sgns
3,0.005,0.2,50,20,0.05,-0.37271,3.07078,0.05793, Train,sgns
3,0.005,0.2,50,20,0.05,-0.28415,2.76871,0.04424, Dev/Test,sgns
4,0.005,0.2,50,20,0.05,-0.3971,3.39203,0.06277, Train,sgns
4,0.005,0.2,50,20,0.05,-0.28622,2.99294,0.04094, Dev/Test,sgns
5,0.005,0.2,50,20,0.05,-0.41292,3.65322,0.06639, Train,sgns
5,0.005,0.2,50,20,0.05,-0.28513,3.0687,0.04063, Dev/Test,sgns
1,0.001,0.2,200,10,0.05,-0.22118,7.44452,0.03515, Train,sgns
1,0.001,0.2,200,10,0.05,-0.25544,4.11805,0.032, Dev/Test,sgns
2,0.001,0.2,200,10,0.05,-0.31226,2.57449,0.04602, Train,sgns
2,0.001,0.2,200,10,0.05,-0.29964,2.14217,0.03812, Dev/Test,sgns
3,0.001,0.2,200,10,0.05,-0.39701,1.91367,0.06414, Train,sgns
3,0.001,0.2,200,10,0.05,-0.30652,2.02319,0.04627, Dev/Test,sgns
4,0.001,0.2,200,10,0.05,-0.4559,1.73604,0.07817, Train,sgns
4,0.001,0.2,200,10,0.05,-0.30253,1.86831,0.04235, Dev/Test,sgns
5,0.001,0.2,200,10,0.05,-0.49797,1.53987,0.09044, Train,sgns
5,0.001,0.2,200,10,0.05,-0.29978,1.76825,0.0458, Dev/Test,sgns
1,0.005,0.2,10,50,0.025,-0.22584,0.96558,0.03686, Train,sgns
1,0.005,0.2,10,50,0.025,-0.24242,0.9924,0.03749, Dev/Test,sgns
2,0.005,0.2,10,50,0.025,-0.30269,0.94202,0.04813, Train,sgns
2,0.005,0.2,10,50,0.025,-0.26216,0.98911,0.03937, Dev/Test,sgns
3,0.005,0.2,10,50,0.025,-0.33986,0.9325,0.05219, Train,sgns
3,0.005,0.2,10,50,0.025,-0.26029,0.99173,0.04031, Dev/Test,sgns
4,0.005,0.2,10,50,0.025,-0.36015,0.93263,0.05654, Train,sgns
4,0.005,0.2,10,50,0.025,-0.25447,1.00092,0.03576, Dev/Test,sgns
5,0.005,0.2,10,50,0.025,-0.37228,0.937,0.05812, Train,sgns
5,0.005,0.2,10,50,0.025,-0.25017,0.99593,0.04078, Dev/Test,sgns
1,0.001,0.5,50,1,0.25,-0.28493,1.22779,0.04313, Train,sgns
1,0.001,0.5,50,1,0.25,-0.29782,1.3207,0.04471, Dev/Test,sgns
2,0.001,0.5,50,1,0.25,-0.34691,1.31786,0.0529, Train,sgns
2,0.001,0.5,50,1,0.25,-0.30224,1.347,0.0469, Dev/Test,sgns
3,0.001,0.5,50,1,0.25,-0.37404,1.32772,0.05549, Train,sgns
3,0.001,0.5,50,1,0.25,-0.3028,1.31262,0.04863, Dev/Test,sgns
4,0.001,0.5,50,1,0.25,-0.38901,1.32613,0.05978, Train,sgns
4,0.001,0.5,50,1,0.25,-0.29988,1.31198,0.04863, Dev/Test,sgns
5,0.001,0.5,50,1,0.25,-0.39815,1.31674,0.06228, Train,sgns
5,0.001,0.5,50,1,0.25,-0.30238,1.31459,0.05208, Dev/Test,sgns
1,0.001,0.1,10,10,0.05,-0.23717,0.97762,0.03818, Train,sgns
1,0.001,0.1,10,10,0.05,-0.26254,1.02879,0.03608, Dev/Test,sgns
2,0.001,0.1,10,10,0.05,-0.30176,0.95919,0.04898, Train,sgns
2,0.001,0.1,10,10,0.05,-0.27184,1.02215,0.04031, Dev/Test,sgns
3,0.001,0.1,10,10,0.05,-0.33976,0.95008,0.05402, Train,sgns
3,0.001,0.1,10,10,0.05,-0.27527,1.01984,0.03906, Dev/Test,sgns
4,0.001,0.1,10,10,0.05,-0.36631,0.946,0.05799, Train,sgns
4,0.001,0.1,10,10,0.05,-0.27393,1.02085,0.03827, Dev/Test,sgns
5,0.001,0.1,10,10,0.05,-0.38531,0.94366,0.06191, Train,sgns
5,0.001,0.1,10,10,0.05,-0.27271,1.02147,0.03655, Dev/Test,sgns
1,0.005,0.01,10,5,0.25,-0.2686,1.06,0.04194, Train,sgns
1,0.005,0.01,10,5,0.25,-0.2723,1.22134,0.03827, Dev/Test,sgns
2,0.005,0.01,10,5,0.25,-0.33359,1.27768,0.05024, Train,sgns
2,0.005,0.01,10,5,0.25,-0.26857,1.41673,0.04047, Dev/Test,sgns
3,0.005,0.01,10,5,0.25,-0.36153,1.4118,0.05657, Train,sgns
3,0.005,0.01,10,5,0.25,-0.26657,1.49548,0.03796, Dev/Test,sgns
4,0.005,0.01,10,5,0.25,-0.37863,1.44216,0.0596, Train,sgns
4,0.005,0.01,10,5,0.25,-0.25931,1.48866,0.04173, Dev/Test,sgns
5,0.005,0.01,10,5,0.25,-0.38867,1.47795,0.06288, Train,sgns
5,0.005,0.01,10,5,0.25,-0.26054,1.52915,0.04094, Dev/Test,sgns
1,0.001,0.1,50,5,0.1,-0.2924,0.99158,0.04277, Train,sgns
1,0.001,0.1,50,5,0.1,-0.32164,0.99903,0.04894, Dev/Test,sgns
2,0.001,0.1,50,5,0.1,-0.39956,0.92051,0.06347, Train,sgns
2,0.001,0.1,50,5,0.1,-0.32346,0.99317,0.05678, Dev/Test,sgns
3,0.001,0.1,50,5,0.1,-0.45839,0.87129,0.08106, Train,sgns
3,0.001,0.1,50,5,0.1,-0.31763,1.00064,0.05757, Dev/Test,sgns
4,0.001,0.1,50,5,0.1,-0.49467,0.84468,0.08982, Train,sgns
4,0.001,0.1,50,5,0.1,-0.30971,0.99787,0.05663, Dev/Test,sgns
5,0.001,0.1,50,5,0.1,-0.51984,0.82569,0.09716, Train,sgns
5,0.001,0.1,50,5,0.1,-0.30153,1.00534,0.0502, Dev/Test,sgns
1,0.001,0.1,50,5,0.25,-0.27851,1.0118,0.04036, Train,sgns
1,0.001,0.1,50,5,0.25,-0.30913,1.0272,0.04376, Dev/Test,sgns
2,0.001,0.1,50,5,0.25,-0.37445,0.94489,0.05882, Train,sgns
2,0.001,0.1,50,5,0.25,-0.32566,1.002,0.04863, Dev/Test,sgns
3,0.001,0.1,50,5,0.25,-0.42629,0.90787,0.06973, Train,sgns
3,0.001,0.1,50,5,0.25,-0.32382,1.0073,0.0538, Dev/Test,sgns
4,0.001,0.1,50,5,0.25,-0.45825,0.88963,0.08, Train,sgns
4,0.001,0.1,50,5,0.25,-0.31712,1.01549,0.05004, Dev/Test,sgns
5,0.001,0.1,50,5,0.25,-0.48073,0.87565,0.08445, Train,sgns
5,0.001,0.1,50,5,0.25,-0.30959,1.02806,0.04769, Dev/Test,sgns
1,0.001,0.2,500,50,0.025,-0.19302,14.46569,0.03299, Train,sgns
1,0.001,0.2,500,50,0.025,-0.19514,25.10302,0.01851, Dev/Test,sgns
2,0.001,0.2,500,50,0.025,-0.19372,35.44709,0.03251, Train,sgns
2,0.001,0.2,500,50,0.025,-0.19799,44.1949,0.04282, Dev/Test,sgns
3,0.001,0.2,500,50,0.025,-0.1946,56.01238,0.03608, Train,sgns
3,0.001,0.2,500,50,0.025,-0.19813,63.63972,0.04282, Dev/Test,sgns
4,0.001,0.2,500,50,0.025,-0.19389,73.06612,0.03407, Train,sgns
4,0.001,0.2,500,50,0.025,-0.19783,76.36646,0.04267, Dev/Test,sgns
5,0.001,0.2,500,50,0.025,-0.19362,90.52707,0.03416, Train,sgns
5,0.001,0.2,500,50,0.025,-0.19823,98.25853,0.04235, Dev/Test,sgns
1,0.002,0.2,200,5,0.1,-0.23656,13.71031,0.0377, Train,sgns
1,0.002,0.2,200,5,0.1,-0.26573,8.68987,0.03796, Dev/Test,sgns
2,0.002,0.2,200,5,0.1,-0.33729,9.46051,0.05116, Train,sgns
2,0.002,0.2,200,5,0.1,-0.29025,8.46754,0.04424, Dev/Test,sgns
3,0.002,0.2,200,5,0.1,-0.40302,8.58885,0.0637, Train,sgns
3,0.002,0.2,200,5,0.1,-0.29774,7.03453,0.04627, Dev/Test,sgns
4,0.002,0.2,200,5,0.1,-0.44707,8.02795,0.07569, Train,sgns
4,0.002,0.2,200,5,0.1,-0.29441,6.84859,0.04376, Dev/Test,sgns
5,0.002,0.2,200,5,0.1,-0.47884,7.68107,0.08507, Train,sgns
5,0.002,0.2,200,5,0.1,-0.29773,6.4281,0.04925, Dev/Test,sgns
1,0.005,0.5,10,50,0.25,-0.18564,0.97085,0.02364, Train,sgns
1,0.005,0.5,10,50,0.25,-0.18729,1.00862,0.04173, Dev/Test,sgns
2,0.005,0.5,10,50,0.25,-0.21768,0.97325,0.03727, Train,sgns
2,0.005,0.5,10,50,0.25,-0.22466,1.01231,0.03765, Dev/Test,sgns
3,0.005,0.5,10,50,0.25,-0.24936,1.00888,0.04176, Train,sgns
3,0.005,0.5,10,50,0.25,-0.22882,1.02314,0.03655, Dev/Test,sgns
4,0.005,0.5,10,50,0.25,-0.26758,1.06856,0.04474, Train,sgns
4,0.005,0.5,10,50,0.25,-0.23193,1.04101,0.03765, Dev/Test,sgns
5,0.005,0.5,10,50,0.25,-0.27963,1.12179,0.04607, Train,sgns
5,0.005,0.5,10,50,0.25,-0.23257,1.11111,0.03639, Dev/Test,sgns
1,0.002,0.1,10,20,0.1,-0.24403,0.96032,0.03771, Train,sgns
1,0.002,0.1,10,20,0.1,-0.26009,1.00169,0.03749, Dev/Test,sgns
2,0.002,0.1,10,20,0.1,-0.3249,0.9298,0.04885, Train,sgns
2,0.002,0.1,10,20,0.1,-0.26317,0.99751,0.03655, Dev/Test,sgns
3,0.002,0.1,10,20,0.1,-0.37143,0.91539,0.05507, Train,sgns
3,0.002,0.1,10,20,0.1,-0.25123,0.99652,0.03451, Dev/Test,sgns
4,0.002,0.1,10,20,0.1,-0.39577,0.90434,0.06068, Train,sgns
4,0.002,0.1,10,20,0.1,-0.25646,0.99162,0.03702, Dev/Test,sgns
5,0.002,0.1,10,20,0.1,-0.41168,0.89775,0.06424, Train,sgns
5,0.002,0.1,10,20,0.1,-0.25141,0.99197,0.03576, Dev/Test,sgns
1,0.005,0.05,500,10,0.1,-0.18757,646.88019,0.02545, Train,sgns
1,0.005,0.05,500,10,0.1,-0.19242,1390.34937,0.01851, Dev/Test,sgns
2,0.005,0.05,500,10,0.1,-0.18887,2415.70068,0.0247, Train,sgns
2,0.005,0.05,500,10,0.1,-0.19272,3485.95898,0.01851, Dev/Test,sgns
3,0.005,0.05,500,10,0.1,-0.18926,3998.05469,0.02509, Train,sgns
3,0.005,0.05,500,10,0.1,-0.19358,4536.12646,0.04188, Dev/Test,sgns
4,0.005,0.05,500,10,0.1,-0.18983,5552.66943,0.02573, Train,sgns
4,0.005,0.05,500,10,0.1,-0.19332,5376.95312,0.04188, Dev/Test,sgns
5,0.005,0.05,500,10,0.1,-0.19006,6642.41504,0.02575, Train,sgns
5,0.005,0.05,500,10,0.1,-0.19259,6173.94238,0.04188, Dev/Test,sgns
1,0.002,0.5,50,20,0.025,-0.25039,1.03085,0.0378, Train,sgns
1,0.002,0.5,50,20,0.025,-0.2679,1.05231,0.03545, Dev/Test,sgns
2,0.002,0.5,50,20,0.025,-0.32319,1.02946,0.04959, Train,sgns
2,0.002,0.5,50,20,0.025,-0.28024,1.04458,0.03937, Dev/Test,sgns
3,0.002,0.5,50,20,0.025,-0.37277,0.99337,0.05688, Train,sgns
3,0.002,0.5,50,20,0.025,-0.28392,1.07318,0.04047, Dev/Test,sgns
4,0.002,0.5,50,20,0.025,-0.4034,1.0014,0.06247, Train,sgns
4,0.002,0.5,50,20,0.025,-0.28384,1.08346,0.04251, Dev/Test,sgns
5,0.002,0.5,50,20,0.025,-0.42352,1.01666,0.06816, Train,sgns
5,0.002,0.5,50,20,0.025,-0.28678,1.08558,0.03984, Dev/Test,sgns
1,0.001,0.5,200,5,0.1,-0.24247,6.96689,0.03758, Train,sgns
1,0.001,0.5,200,5,0.1,-0.28515,5.11727,0.03592, Dev/Test,sgns
2,0.001,0.5,200,5,0.1,-0.33675,5.71468,0.05077, Train,sgns
2,0.001,0.5,200,5,0.1,-0.3043,4.71584,0.0422, Dev/Test,sgns
3,0.001,0.5,200,5,0.1,-0.39387,4.88418,0.06228, Train,sgns
