Epoch,lr,do,hs,b,gn,Loss,MSE,Acc,Set,Embedding,Group
3,0.001,0.5,20,10,0.005,-0.27344,0.9791,0.04424, Dev/Test,sgns,G156
4,0.001,0.5,20,10,0.005,-0.36061,0.92385,0.05487, Train,sgns,G157
4,0.001,0.5,20,10,0.005,-0.26827,0.98062,0.04392, Dev/Test,sgns,G158
5,0.001,0.5,20,10,0.005,-0.37344,0.92624,0.05808, Train,sgns,G159
5,0.001,0.5,20,10,0.005,-0.26626,0.98486,0.04502, Dev/Test,sgns,G160
1,0.001,0.5,50,5,0.005,-0.27949,0.9441,0.04066, Train,sgns,G161
1,0.001,0.5,50,5,0.005,-0.30582,0.98457,0.0422, Dev/Test,sgns,G162
2,0.001,0.5,50,5,0.005,-0.35741,0.92988,0.0549, Train,sgns,G163
2,0.001,0.5,50,5,0.005,-0.30885,0.99649,0.04486, Dev/Test,sgns,G164
3,0.001,0.5,50,5,0.005,-0.39674,0.92674,0.06058, Train,sgns,G165
3,0.001,0.5,50,5,0.005,-0.29899,1.02669,0.0422, Dev/Test,sgns,G166
4,0.001,0.5,50,5,0.005,-0.42053,0.93352,0.06661, Train,sgns,G167
4,0.001,0.5,50,5,0.005,-0.29388,1.04921,0.04643, Dev/Test,sgns,G168
5,0.001,0.5,50,5,0.005,-0.43711,0.94238,0.07024, Train,sgns,G169
5,0.001,0.5,50,5,0.005,-0.2917,1.06748,0.04706, Dev/Test,sgns,G170
1,0.001,0.5,50,10,0.005,-0.26991,0.93669,0.04072, Train,sgns,G171
1,0.001,0.5,50,10,0.005,-0.29371,0.98643,0.03765, Dev/Test,sgns,G172
2,0.001,0.5,50,10,0.005,-0.34477,0.91257,0.05217, Train,sgns,G173
2,0.001,0.5,50,10,0.005,-0.29305,0.98346,0.04486, Dev/Test,sgns,G174
3,0.001,0.5,50,10,0.005,-0.38487,0.90659,0.05976, Train,sgns,G175
3,0.001,0.5,50,10,0.005,-0.28535,1.00811,0.0458, Dev/Test,sgns,G176
4,0.001,0.5,50,10,0.005,-0.41108,0.90741,0.06301, Train,sgns,G177
4,0.001,0.5,50,10,0.005,-0.28255,1.01993,0.04471, Dev/Test,sgns,G178
5,0.001,0.5,50,10,0.005,-0.42957,0.91106,0.06659, Train,sgns,G179
5,0.001,0.5,50,10,0.005,-0.27533,1.0249,0.04235, Dev/Test,sgns,G180
1,0.002,0.1,10,5,0.005,-0.28407,0.93461,0.04299, Train,sgns,G181
1,0.002,0.1,10,5,0.005,-0.28943,0.9786,0.03984, Dev/Test,sgns,G182
2,0.002,0.1,10,5,0.005,-0.35813,0.89988,0.05542, Train,sgns,G183
2,0.002,0.1,10,5,0.005,-0.27895,0.97828,0.03702, Dev/Test,sgns,G184
3,0.002,0.1,10,5,0.005,-0.39393,0.88945,0.06125, Train,sgns,G185
3,0.002,0.1,10,5,0.005,-0.27342,0.98094,0.04204, Dev/Test,sgns,G186
4,0.002,0.1,10,5,0.005,-0.41565,0.88804,0.0679, Train,sgns,G187
4,0.002,0.1,10,5,0.005,-0.26837,0.98784,0.04329, Dev/Test,sgns,G188
5,0.002,0.1,10,5,0.005,-0.42992,0.88852,0.06998, Train,sgns,G189
5,0.002,0.1,10,5,0.005,-0.26103,0.99251,0.04596, Dev/Test,sgns,G190
1,0.002,0.1,10,10,0.005,-0.26811,0.94989,0.04187, Train,sgns,G191
1,0.002,0.1,10,10,0.005,-0.26005,0.98918,0.04204, Dev/Test,sgns,G192
2,0.002,0.1,10,10,0.005,-0.33811,0.91745,0.05311, Train,sgns,G193
2,0.002,0.1,10,10,0.005,-0.25863,0.98278,0.04047, Dev/Test,sgns,G194
3,0.002,0.1,10,10,0.005,-0.37865,0.90117,0.05907, Train,sgns,G195
3,0.002,0.1,10,10,0.005,-0.2599,0.98335,0.04314, Dev/Test,sgns,G196
4,0.002,0.1,10,10,0.005,-0.4067,0.88958,0.06223, Train,sgns,G197
4,0.002,0.1,10,10,0.005,-0.26135,0.98232,0.04298, Dev/Test,sgns,G198
5,0.002,0.1,10,10,0.005,-0.42476,0.88154,0.0668, Train,sgns,G199
5,0.002,0.1,10,10,0.005,-0.25619,0.98408,0.03922, Dev/Test,sgns,G200
1,0.002,0.1,20,5,0.005,-0.29115,0.92675,0.04313, Train,sgns,G201
